Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
445,Shraddha Grewal,Female,5/14/2001,21,8.18,"Government Commerce Girls College, Kota",Maharshi Dayanand University,B.Com.,General,83.3,2023,Kendriya Vidyalaya No.1,ISC,Commerce,94.75,2020,La Martiniere Girls' College,ICSE,95,2017,No,10 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Human Resources,Marketing,MS Finline Pvt Ltd(Partner of IIFL Securities),Equity Research Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
446,Sadia Suri,Female,2/27/2001,23,6.44,Dpg Institute Of Technology And Management,Itm University,B.B.A.,Marketing And Finance,72.81,2023,Betnoti College,Jharkhand Academic Council,Commerce,80,2020,Carmel Convent Senior Secondary School,CBSE,73,2018,Yes,0 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Human Resources,Genpact,Business Development Trainee,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
447,Shailee Bose,Female,2/17/2001,25,7.17,Pranveer Singh Institute Of Technology,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Commerce,69.2,2020,Meerut Public Girls School,CBSE,Science (Non-Medical),83.33,2017,Bal Mandir Senior Secondary School,CBSE,82.83,2015,Yes,7 months,Yes,7 months,Infosys Limited,7 months,Hospitality,Operations,Graduate Engineer Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Marketing,Vansaar (Riaan Wellness Pvt. Ltd.),Business Development Associate (Sales and Marketing),"1. Market Research
2. Industry Analysis
3. Research Methodology","1. Statistical Tools
2. Research Software
3. Data Analysis","1. Research Methods
2. Critical Thinking
3. Academic Writing"
448,Saurabh Chahal,Male,4/18/2001,22,6.78,Commerce College,Savitribai Phule Pune University,B.B.A.,Marketing,68.81,2021,Shri Kanwartara Public Higher Secondary School,CBSE,Commerce,77,2018,Gurukul School Dhamnod,CBSE,79.8,2016,No,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Big Data Analytics,Marketing,Koozies Ice Cream Co.,marketing intern,"1. Operations Strategy
2. Process Improvement
3. Supply Chain Optimization","1. ERP Systems
2. Project Management
3. Process Mapping","1. Talent Strategy
2. People Development
3. Leadership Development"
449,Parth Bhandari,Male,9/25/2002,24,6.8,Kalinga Institute Of Industrial Technology,Guru Gobind Singh Indraprastha University,B.Sc.,Computer Science Hons.,72.3,2020,Greenway Modern School,CBSE,Science (Non-Medical),78.06,2017,Lord Mahavira Academy,CBSE,89.66,2015,Yes,4 months,Yes,#REF!,Student Circus,10 months,FMCG,Research and Development,Assistant Manager,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Marketing,Finance,PVH Arvind Fashions Pvt. Ltd.,Finance Intern,"1. Financial Planning
2. Risk Management
3. Investment Analysis","1. Financial Modeling
2. Advanced Excel
3. ERP Systems","1. Financial Leadership
2. Strategic Planning
3. Risk Assessment"
450,Naveen Chhabra,Male,10/18/2001,23,8.13,Institute Of Management Nirma University,Madras University,B.Sc.,Physics,81.11,2021,Rose Mary Matriculation Higher Secondary School,CBSE,Science (Non-Medical),63.85,2017,Shree Sanatan Dharm Education Centre Kaushalpuri,CBSE,85.8,2015,No,10 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Finance Manager,Finance,Marketing,Genpact,Finance and accounts intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
451,Rajat Kataria,Male,7/24/2002,24,6.58,University Commerce College,Calcutta University,B.Com. (Hons.),Accounting And Finance,86.5,2021,Vidya Bharati Chinmaya Vidyalaya,CBSE,Commerce,74,2018,Lotus Valley International School,CBSE,81.7,2016,Yes,12 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Big Data Analytics,Marketing,Trisdel Media Private Limited,B2B sales,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
452,Sonali Sidhu,Female,3/15/2002,26,6.67,Sri Guru Tegh Bahadur Khalsa College,Rajasthan University,B.Sc.,Biology,63.63,2020,Sumit Bal Sr. Sec. School,CBSE,Science (Medical),69,2016,DAV Public School,CBSE,80.66,2014,Yes,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Milma,Academic Intern- Consultancy,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
453,Bhavesh Rana,Male,9/20/1998,22,6.52,Brihan Maharashtra College Of Commerce,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.B.A.,General,69.83,2022,Viswasai Junior College,CBSE,Science (Non-Medical),78.6,2018,Sheth Vidya Mandir English High School,CBSE,81.7,2016,Yes,5 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Big Data Analytics,Marketing,Godfrey Phillips India Ltd,Marketing and Business Development Intern,"1. Operations Strategy
2. Process Improvement
3. Supply Chain Optimization","1. Process Mapping
2. Analytics Tools
3. ERP Systems","1. Business Partnership
2. People Management
3. Strategic HR"
454,Rishi Bose,Male,3/18/1997,24,7.27,Sri Guru Nanak Dev Khalsa College,University Of Delhi,B.Com. (Hons.),General,65.73,2020,Delhi Public School,CBSE,Commerce,94.6,2017,Delhi Public School,CBSE,91.2,2015,Yes,3 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Enrich Agro Food Products Pvt Ltd(Coca Cola FBO),Portfolio Management Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
455,Harini Verma,Female,7/29/2002,22,7.87,Maharani Shri Jaya Government College (M.S.J),Guru Jambheshwar University Of Science And Technology,B.Tech,Commerce,65.94,2022,Delhi Public School,Maharashtra State Board of Secondary and Higher Secondary Education,Civil Engineering (Diploma),83.2,2019,Air Force Bal Bharati School,ICSE,82.83,2016,Yes,4 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Brand Manager,International Business,Marketing,Adani Green Energy Ltd.,HR Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
456,Omkar Dhar,Male,7/24/2000,21,6.23,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.B.A.,General,77.81,2022,St.Francis School,CBSE,Commerce,78.6,2019,Vivekananda Kendra vidyalaya,CBSE,66.5,2017,Yes,1 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,ITC Ltd.,Finance Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
457,Vikram Sidhu,Male,9/30/2000,23,6.82,Kalinga Institute Of Industrial Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Commerce,92.3,2022,Ryan International School,CBSE,Commerce,80.8,2019,Summer Fields School,CBSE,77.9,2017,Yes,4 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Big Data Analytics,Marketing,Hero Corporate Service Pvt. Ltd.,Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
458,Ashok Thakur,Male,8/18/2000,22,7.94,Amity University,Amity University,B.B.A.,Marketing,94.6,2022,Holy Cross Senior Secondary School,CBSE,Commerce,85.4,2019,International Indian School,CBSE,85.5,2017,Yes,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Data Scientist,Marketing,Finance,Federal Bank,Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
459,Samarth Singh,Male,11/13/2000,21,6.78,Brihan Maharashtra College Of Commerce,Savitribai Phule Pune University,B.B.A.,General,69.83,2023,Ryan International School,CBSE,Commerce,64,2019,St. Mary's Christian School,Board of High School and Intermediate Education U.P.,77.9,2017,No,9 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,Tata Motors Ltd.,Summer Intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
460,Raj Sandhu,Male,2/15/1993,22,6.98,Guru Nanak Dev Engineering College,I.K. Gujral Punjab Technical University,B.Tech,General,77.57,2022,Kendriya Vidyalaya,CBSE,Science (Non-Medical),71.4,2019,Bal Bharati Public School,CBSE,94.66,2017,Yes,0 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Data Analyst,Finance,Marketing,GEP,Summer Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
461,Mahesh Aggarwal,Male,7/29/1993,21,7.73,Srm University,University Of Delhi,BMS,Law,95.03,2022,Shree Sanatan Dharm Education Centre,CBSE,Humanities with Mathematics,92.6,2019,"Delhi public school, Sushant lok",CBSE,95,2017,Yes,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi ,German",Marketing Analytics Manager,Finance,Marketing,MavenSensum,Customer Experience Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
462,Sonali Garg,Female,4/22/2000,22,7.83,Lakshmibai College,University Of Delhi,B.Com. (Hons.),General,82.27,2023,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,91.2,2020,Lancer Convent School,CBSE,92.3,2018,No,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,Finance,Care Health Insurance,Summer Intern- Emerging Enterprises Group,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
463,Ananya Bhullar,Female,7/14/2002,24,7.4,Jorhat Institute Of Science And Technology,Assam Science And Technology University,B.Tech,Commerce,83.4,2022,South Point School,CBSE,Science (Medical),86.4,2018,St. Mary's Convent School,CBSE,95,2016,No,5 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi, Marathi",Operations Analyst,International Business,Information Technology,VitalEdge Technologies,Customer Relationship Officer,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
464,Shreya Patel,Female,8/23/2000,24,5.06,Kirorimal College,Indira Gandhi National Open University,B.Sc.,General,68,2021,Jagannath International School,ISC,Science (Non-Medical),77.4,2018,The Chintels School,ICSE,83.6,2016,No,7 months,Yes,#REF!,Devastra Tactical Solutions Pvt. Ltd.,22 months,Hospitality,Marketing,Relationship Manager,Golden Highway Goods and Carriers,11 months,Architecture,Operations,Engineer,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Marketing,Finance,Corizo,Strategy and Planning,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
465,Sandeep Saxena,Male,7/23/2000,21,8.6,Maharaja Surajmal Institute,University Of Delhi,B.Com. (Hons.),General,88.1,2023,Lovely Public Senior Secondary School,CBSE,Commerce,89.33,2020,Lovely Public Senior Secondary School,CBSE,92.3,2018,No,4 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Associate,Finance,Marketing,Agro Tech Foods Ltd.,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
466,Anil Pillai,Male,11/18/2000,25,7.6,Maharaja Surajmal Institute of Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Commerce,75.6,2022,Cambridge School,CBSE,Commerce,77,2017,Carmel School,CBSE,82.83,2015,No,8 months,Yes,#REF!,Ernst & Young GDS,11 months,Information Technology,Finance,Product Designer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Finance,Your Gift Studio,Management Trainee,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
467,Rudra Sodhi,Male,3/15/2002,24,6.42,University College Of Commerce And Management Studies,Mohan Lal Shukhadia University,B.Com.,Commerce,54.19,2021,Delhi Public School,CBSE,Commerce,68.8,2018,Vidya Bharati Chinmaya Vidyalaya,CBSE,81.7,2016,No,2 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Marketing,DMI Finance,Summer Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
468,Nitin Bajwa,Male,9/14/2000,25,7.88,University Of Petroleum And Energy Studies,University Of Delhi,B.Tech,General,90.7,2021,Universal Public School,CBSE,Science (Non-Medical),60,2017,Saraswati Vidya Mandir Senior secondary school,CBSE,77.9,2015,Yes,10 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Analyst,International Business,Human Resources,Wipro,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
